Area Coming From,Area Going To,Slime Gated?,Unlock Needed,Needs Jetpack,Minimum Energy Level Required,Plort Types Needed,Slime Gate Required,Skip Logic?,,Slimes,Favorite Food,Spawn Location,Plort Drop,Id,Skip Logic,,Location Group,Regions Affected
The Ranch,Dry Reef - Main,No,Dry Reef,No,0,,,None,,Rad Slime,Oca Oca,Dry Reef - Main,Rad Plort,4,Market Logic,,Viktor's Workshop,"Viktor's Workshop, The Slimeulation"
The Overgrowth,Dry Reef - Beach,No,Dry Reef,No,0,,,None,,Crystal Slime,Odd Onion,"Indigo Quarry - Before First Bridge, Indigo Quarry - Ash Isles",Crystal Plort,78,None,,Post-Game,"Post-Game, Dry Reef - H Vault, Moss Blanket - H Vault, Indigo Quarry - H Vault"
The Ranch,Dry Reef - Beach,No,Dry Reef,No,0,,,Obscure Locations,,Crystal Slime,Odd Onion,Dry Reef - Main,Crystal Plort,78,Market Logic,,,
Dry Reef - Main,Dry Reef - Beach,Yes,Dry Reef,No,0,,,None,,Honey Slime,Mint Mango,Moss Blanket - Main,Honey Plort,60,None,,,
Dry Reef - Beach,Dry Reef - Ring Island,No,Dry Reef,No,0,,,Easy Skips,,Honey Slime,Mint Mango,Dry Reef - Main,Honey Plort,60,Market Logic,,,
Dry Reef - Beach,Dry Reef - Ring Island,No,Dry Reef,Yes,50,,,None,,Hunter Slime,Roostro,"Moss Blanket - Mushroom Island, Moss Blanket - Main, The Wilds, Moss Blanket - Hunter's Domain",Hunter Plort,52,None,,,
Post-Game,Dry Reef - H Vault,Yes,Dry Reef,Yes,50,,,Post-Game,,Hunter Slime,Roostro,Dry Reef - Main,Hunter Plort,52,Market Logic,,,
Post-Game,Dry Reef - H Vault,Yes,Dry Reef,No,0,,,"Post-Game, Easy Skips",,Quantum Slime,Phase Lemon,Ancient Ruins - Main,Quantum Plort,99,None,,,
The Slime Sea - Between Grotto and Dry Reef Island 2,Dry Reef - Offshoot,No,Dry Reef,Yes,50,,,None,,Dervish Slime,Prickly Pear,"Glass Desert - Second Half, Glass Desert - First Half",Dervish Plort,103,None,,,
Dry Reef - Main,Dry Reef - Offshoot,No,Dry Reef,No,0,,,Precise Movement,,Tangle Slime,Painted Hen,"Glass Desert - Second Half, Glass Desert - First Half",Tangle Plort,107,None,,,
The Grotto,The Slime Sea - Between Grotto and Dry Reef Island 1,No,NONE,No,0,,,"Precise Movement, Obscure Locations",,Mosaic Slime,Silver Parsnip,"Glass Desert - Second Half, Glass Desert - First Half",Mosaic Plort,105,None,,,
The Grotto,The Slime Sea - Between Grotto and Dry Reef Island 1,No,NONE,Yes,50,,,None,,Lucky Slime,N/A,"Dry Reef - Main, Dry Reef - Beach, Dry Reef - Ring Island, Dry Reef - Offshoot, The Slime Sea - Between Grotto and Dry Reef Island 1, The Slime Sea - Between Grotto and Dry Reef Island 2, The Slime Sea - Mustache Shrine, The Wilds, Glass Desert - Second Half, Glass Desert - First Half, Ancient Ruins - Main, Ancient Ruins Transition, Moss Blanket - Hunter's Domain, Moss Blanket - Mushroom Island, Moss Blanket - Main, Indigo Quarry - Ancient Ruins Transition Overlap, Indigo Quarry - Ash Isles, Indigo Quarry - After The Bridge, Indigo Quarry - Before First Bridge, The Slime Sea - Off Moss Blanket",N/A,0,None,,,
The Slime Sea - Between Grotto and Dry Reef Island 2,The Slime Sea - Between Grotto and Dry Reef Island 1,No,NONE,Yes,50,,,None,,Gold Slime,Gilded Ginger,Glass Desert - First Half,Gold Plort,7,None,,,
The Slime Sea - Between Grotto and Dry Reef Island 1,The Slime Sea - Between Grotto and Dry Reef Island 2,No,NONE,Yes,50,,,None,,Saber Slime,None,The Wilds,Saber Plort,164,None,,,
The Slime Sea - Between Grotto and Dry Reef Island 1,The Slime Sea - Between Grotto and Dry Reef Island 2,No,NONE,No,0,,,"Precise Movement, Dangerous Skips",,Quicksilver Slime,N/A,Nimble Valley,N/A,0,None,,,
Dry Reef - Offshoot,The Slime Sea - Between Grotto and Dry Reef Island 2,No,NONE,Yes,50,,,None,,Glitch Slime,N/A,The Slimeulation,N/A,0,None,,,
Dry Reef - Main,The Slime Sea - Mustache Shrine,No,NONE,Yes,250,,,Obscure Locations,,Puddle Slime,N/A,"Moss Blanket - Main, Indigo Quarry - Before First Bridge, Ancient Ruins - Main, Dry Reef - Ring Island",Puddle Plort,73,None,,,
Moss Blanket - Hunter's Domain,The Slime Sea - Off Moss Blanket,No,Moss Blanket,Yes,250,,,None,,Puddle Slime,N/A,Dry Reef - Main,Puddle Plort,73,Market Logic,,,
Moss Blanket - Hunter's Domain,The Slime Sea - Off Moss Blanket,No,Moss Blanket,Yes,200,,,Obscure Locations,,Fire Slime,N/A,"Glass Desert - First Half, Glass Desert - Second Half",Fire Plort,109,None,,,
Dry Reef - Main,Indigo Quarry - Before First Bridge,Yes,Indigo Quarry,No,0,,,None,,,,,,,,,,
Indigo Quarry - After The Bridge,Indigo Quarry - Before First Bridge,No,Indigo Quarry,Yes,50,,,None,,,,,,,,,,
Indigo Quarry - Before First Bridge,Indigo Quarry - After The Bridge,No,Indigo Quarry,Yes,50,,,None,,,,,,,,,,
Indigo Quarry - Ancient Ruins Transition Overlap,Indigo Quarry - After The Bridge,No,Indigo Quarry,No,0,,,None,,,,,,,,,,
Indigo Quarry - After The Bridge,Indigo Quarry - Ash Isles,No,Indigo Quarry,No,0,,,None,,,,,,,,,,
Indigo Quarry - After The Bridge,Indigo Quarry - Ancient Ruins Transition Overlap,No,"Indigo Quarry, Ancient Ruins Transition",No,0,,,None,,,,,,,,,,
Ancient Ruins Transition,Indigo Quarry - Ancient Ruins Transition Overlap,Yes,"Indigo Quarry, Ancient Ruins Transition",No,0,,,None,,,,,,,,,,
Post-Game,Indigo Quarry - H Vault,Yes,Indigo Quarry,Yes,50,,,Post-Game,,,,,,,,,,
Post-Game,Indigo Quarry - H Vault,Yes,Indigo Quarry,No,0,,,"Precise Movement, Post-Game",,,,,,,,,,
Dry Reef - Main,Moss Blanket - Main,Yes,Moss Blanket,No,0,,,None,,,,,,,,,,
Dry Reef - Main,Moss Blanket - Main,No,Moss Blanket,Yes,100,,,Easy Skips,,,,,,,,,,
Moss Blanket - Main,Moss Blanket - Mushroom Island,No,Moss Blanket,Yes,100,,,None,,,,,,,,,,
Moss Blanket - Main,Moss Blanket - Mushroom Island,No,Moss Blanket,No,0,,,"Precise Movement, Obscure Locations",,,,,,,,,,
Moss Blanket - Main,Moss Blanket - Hunter's Domain,No,Moss Blanket,No,0,,,"Precise Movement, Dangerous Skips",,,,,,,,,,
Moss Blanket - Main,Moss Blanket - Hunter's Domain,No,Moss Blanket,Yes,50,,,None,,,,,,,,,,
Post-Game,Moss Blanket - H Vault,Yes,Moss Blanket,Yes,100,,,Post-Game,,,,,,,,,,
Moss Blanket - Main,Ancient Ruins Transition,Yes,Ancient Ruins Transition,No,0,,,None,,,,,,,,,,
Indigo Quarry - Ancient Ruins Transition Overlap,Ancient Ruins Transition,Yes,Ancient Ruins Transition,No,0,,,None,,,,,,,,,,
Ancient Ruins Transition,Ancient Ruins - Main,No,Ancient Ruins,No,0,"Tabby Plort, Rock Plort, Phosphor Plort, Boom Plort, Rad Plort, Honey Plort",,None,,,,,,,,,,
Ancient Ruins - Main,Ancient Ruins - Teleporter Room,Yes,Ancient Ruins,No,0,,,None,,,,,,,,,,
Ancient Ruins - Teleporter Room,Glass Desert - First Half,No,Glass Desert,No,0,Quantum Plort,,None,,,,,,,,,,
Glass Desert - First Half,Glass Desert - Second Half,Yes,Glass Desert,No,0,,,None,,,,,,,,,,
Glass Desert - First Half,Glass Desert - Second Half,No,Glass Desert,Yes,100,,,"Precise Movement, Obscure Locations",,,,,,,,,,
Glass Desert - First Half,Glass Desert - Second Half,No,Glass Desert,Yes,150,,,Obscure Locations,,,,,,,,,,
Ogden's Retreat,The Wilds,No,The Wilds,No,0,,,None,,,,,,,,,,
Mochi's Manor,Nimble Valley,No,Nimble Valley,No,0,,,None,,,,,,,,,,
Viktor's Workshop,The Slimeulation,No,The Slimeulations,No,0,,,None,,,,,,,,,,
Glass Desert - Second Half,Post-Game,No,NONE,No,0,,,Post-Game,,,,,,,,,,
